Date,sma111,sma350x2
2023-06-11,26832.39595650338,44390.08928571428
2023-06-12,26845.60448338964,44419.61512276786
2023-06-13,26861.189030827703,44451.83280133929
2023-06-14,26871.794288429053,44480.522243303574
2023-06-15,26893.220122466217,44513.617488839285
2023-06-16,26921.617310670044,44553.94946428572
2023-06-17,26948.189048423425,44595.48329241072
2023-06-18,26973.534470016893,44635.70693080357
2023-06-19,27006.90091849662,44673.534174107146
2023-06-20,27049.07152660473,44720.03344866072
2023-06-21,27108.097022804053,44774.199453125
2023-06-22,27176.111451295044,44821.48341517857
2023-06-23,27251.265677787163,44872.70828125
2023-06-24,27324.35740427928,44923.88821428571
2023-06-25,27396.884466497748,44978.85857142857
2023-06-26,27469.41925323761,45037.71899553572
2023-06-27,27550.230820664416,45102.657566964284
2023-06-28,27637.827438766893,45159.08140625
2023-06-29,27730.242820945947,45215.51244419643
2023-06-30,27818.93508938626,45270.6034375
2023-07-01,27894.84616061374,45324.31636160714
2023-07-02,27952.71315456081,45380.553080357146
2023-07-03,28010.464192708332,45430.100223214286
2023-07-04,28068.13645481419,45472.31821428571
2023-07-05,28117.338048986487,45513.93212053571
2023-07-06,28139.729113879504,45552.473314732146
2023-07-07,28170.14701224662,45596.0578125
2023-07-08,28190.4521044482,45640.78388392857
2023-07-09,28212.109744510137,45683.99571428572
2023-07-10,28232.27780123874,45735.725825892856
2023-07-11,28262.129275760137,45789.332667410716
2023-07-12,28280.666877815314,45831.967511160714
2023-07-13,28316.54763161599,45875.57986607143
2023-07-14,28342.127463400902,45912.890926339285
2023-07-15,28362.861486486487,45950.83149553571
2023-07-16,28390.872694960584,45990.32998883929
2023-07-17,28416.798441019146,46029.368214285714
2023-07-18,28430.385117539416,46068.67361607143
2023-07-19,28447.325309684686,46109.05885044643
2023-07-20,28459.15892454955,46149.97918526785
2023-07-21,28472.65179828266,46187.80449776786
2023-07-22,28486.818412162163,46226.721774553575
2023-07-23,28507.487946931305,46266.199765625
2023-07-24,28516.576471002252,46296.870792410715
2023-07-25,28526.03058136261,46331.516919642854
2023-07-26,28537.839878941442,46362.41594866072
2023-07-27,28549.414924690314,46392.43400669643
2023-07-28,28561.770340653155,46420.52787946429
2023-07-29,28570.994369369368,46448.71559151786
2023-07-30,28567.591920045044,46477.03544642857
2023-07-31,28558.53834107545,46506.139095982144
2023-08-01,28554.36428420608,46539.23876116071
2023-08-02,28543.129082207208,46572.47282366071
2023-08-03,28531.354131475226,46606.56391741071
2023-08-04,28520.143281953828,46653.40128348214
2023-08-05,28508.672754786036,46698.40737723214
2023-08-06,28505.040417370496,46741.30871651786
2023-08-07,28494.076682150902,46785.775401785715
2023-08-08,28502.570488457208,46832.84628348214
2023-08-09,28514.42189259572,46879.51185267857
2023-08-10,28533.81542088964,46924.24720982143
2023-08-11,28548.051590653155,46976.462611607145
2023-08-12,28564.48924901464,47030.029620535715
2023-08-13,28580.32325098536,47085.26447544643
2023-08-14,28590.24077984234,47137.324185267855
2023-08-15,28596.976333755632,47190.887265625
2023-08-16,28590.021308417792,47240.32735491071
2023-08-17,28565.91580447635,47277.683984375
2023-08-18,28537.096600506757,47312.42561383929
2023-08-19,28508.5146044482,47348.22056919643
2023-08-20,28491.379610078828,47383.665546875
2023-08-21,28468.349011120496,47419.73280133928
2023-08-22,28441.550341356982,47460.84130580357
2023-08-23,28419.78394214527,47501.648828125
2023-08-24,28389.405458192567,47540.69190848214
2023-08-25,28363.667124155407,47567.35771205357
2023-08-26,28341.626442849098,47592.08870535714
2023-08-27,28327.170766469593,47616.776919642856
2023-08-28,28313.183153856982,47638.123783482144
