Date,SOXX,466950.KS,469170.KS
2025-09-05,1433819.2233234406,1504309.1444403385,1235300.2568649466
2025-09-08,1439412.4246997158,1509316.0001417587,1239797.221506149
2025-09-09,1440484.2456358331,1512648.5045374918,1242197.27425582
2025-09-10,1449169.031033537,1524867.3812807128,1244595.1772954764
2025-09-11,1459164.1479365842,1542424.0669755046,1251821.1671738392
2025-09-12,1457619.0284068328,1538994.845057553,1254309.7753115927
2025-09-15,1464559.9879373547,1544409.3492276818,1258423.7333355062
2025-09-16,1466215.7586285528,1550659.012939718,1256603.7446339969
2025-09-17,1464356.220091277,1547300.8387534001,1255262.2392569662
2025-09-18,1476456.7431810496,1551786.78083959,1259692.7289480977
2025-09-19,1478151.0392067067,1560410.66940057,1262460.8278145413
2025-09-22,1487625.1166031961,1573763.914761716,1264538.5362778578
2025-09-23,1485803.0353500142,1575473.9567435305,1263029.1992159288
2025-09-24,1481371.4392570888,1568169.9327298054,1257886.255868071
2025-09-25,1476258.1890448858,1559835.8768346356,1262178.907746095
2025-09-26,1483386.7345485522,1563863.5544458649,1260411.5420477088
